   id   |   id   | platform |   case   
  96615 |  57247 | admins   | executor
  96616 |        |          | executor
  96617 |  57249 | admins   | executor
  96618 |  57250 | admins   | executor
  96619 |  57251 | admins   | executor
  96620 |  57254 | android  | executor
  96621 |  57252 | admins   | executor
  96622 |  57253 | admins   | executor
  96623 |  57255 | admins   | executor
  96624 |  57256 | admins   | executor
  96625 |  57257 | android  | executor
  96626 |  57258 | admins   | executor
  96627 |  57259 | admins   | executor
  96628 |  57263 | android  | executor
  96629 |  57260 | admins   | executor
  96630 |  57261 | admins   | executor
  96631 |  57264 | android  | executor
  96632 |  57265 | admins   | executor
  96633 |  57266 | android  | executor
  96634 |        |          | executor
  96635 |  57268 | android  | executor
  96636 |  57269 | admins   | executor
  96637 |  57270 | admins   | executor
  96638 |  57271 | admins   | executor
  96639 |  57273 | android  | executor
  96640 |  57272 | admins   | executor
  96640 |  65980 | admins   | executor
  96641 |  57274 | admins   | executor
  96642 |  57276 | admins   | executor
  96643 |  57277 | admins   | executor
  96644 |  57278 | admins   | executor
  96645 |  57279 | admins   | executor
  96646 |  57280 | admins   | executor
  96647 |  57281 | admins   | executor
  96648 |  57282 | admins   | executor
  96649 |  57283 | admins   | executor
  96650 |  57284 | admins   | executor
  96651 |  73212 | admins   | executor
  96651 |  57285 | admins   | executor
  96652 |  57286 | admins   | executor
  96653 |  57287 | admins   | executor
  96654 |  57288 | admins   | executor
  96655 |  57289 | admins   | executor
  96656 |  57290 | admins   | executor
  96657 |        |          | executor
  96658 |  57291 | admins   | executor
  96659 |  57292 | admins   | executor
  96660 |  57293 | admins   | executor
  96661 |        |          | provider
  96662 |  57294 | admins   | executor
  96663 |  57295 | admins   | executor
  96664 |  57297 | admins   | executor
  96665 |  57299 | admins   | executor
  96666 |  57300 | admins   | executor
  96667 |  57301 | admins   | executor
  96668 |  57302 | admins   | executor
  96669 |  57303 | admins   | executor
  96670 |  57304 | admins   | executor
  96671 |  57305 | admins   | executor
  96671 |  57306 | admins   | executor
  96672 |  57307 | android  | executor
  96673 |  57309 | android  | executor
  96674 |  57308 | admins   | executor
  96675 |  57310 | admins   | executor
  96676 |  57311 | admins   | executor
  96677 |  57312 | admins   | executor
  96678 |  57314 | android  | executor
  96679 |  57313 | admins   | executor
  96680 |  57315 | android  | executor
  96680 |  57333 | android  | executor
  96681 |  57316 | admins   | executor
  96682 |  57317 | admins   | executor
  96682 |  57319 | admins   | executor
